CODIGO;NOME;LOJA;NOME_FANTASIA;ESTOQUE ATUAL;VCTO_MEDIO;VENDA MEDIA
601;GRANEL UVA PASSA BRANCA KG;TRESMANN - VIX;GRANEL - TEMPORARIO;0.168;441.0;2.8076666666666665
678;MORTADELA COFRIL FRANGO 20X500GR;TRESMANN - STT;COFRIL;22.0;52.8;17.666666666666664
678;MORTADELA COFRIL FRANGO 20X500GR;TRESMANN - SMJ;COFRIL;29.0;49.8;39.70833333333333
680;SALSICHAO COFRIL 5X1KG;TRESMANN - STT;COFRIL;7.0;53.0;11.666666666666668
680;SALSICHAO COFRIL 5X1KG;TRESMANN - VIX;COFRIL;4.0;50.2;4.333333333333333
680;SALSICHAO COFRIL 5X1KG;TRESMANN - SMJ;COFRIL;5.0;50.6;7.291666666666667
717;MEIA/CARCACA SUINA C/OSSO C/PELE - COMPOSTO (S) KG;TRESMANN - SMJ;SUIMARTIN INDUSTRIA E COMERCIO;24.458;11.8;0.0
717;MEIA/CARCACA SUINA C/OSSO C/PELE - COMPOSTO (S) KG;TRESMANN - STT;SUIMARTIN INDUSTRIA E COMERCIO;12.398;11.8;0.0
721;GRANEL AMEIXA SECA S/CAROCO KG;TRESMANN - SMJ;GRANEL - TEMPORARIO;2.57;187.2;3.5617916666666662
721;GRANEL AMEIXA SECA S/CAROCO KG;TRESMANN - STT;GRANEL - TEMPORARIO;0.084;77.4;2.7734166666666664
721;GRANEL AMEIXA SECA S/CAROCO KG;TRESMANN - VIX;GRANEL - TEMPORARIO;-1.326;473.2;5.5337499999999995
850;CARNE SUINA COSTELA SAUDALI TEMP KG;TRESMANN - VIX;SAUDALI;3.712;279.8;4.579083333333333
850;CARNE SUINA COSTELA SAUDALI TEMP KG;TRESMANN - SMJ;SAUDALI;12.118;295.2;5.011333333333334
850;CARNE SUINA COSTELA SAUDALI TEMP KG;TRESMANN - STT;SAUDALI;49.052;294.8;1.7848333333333333
869;QUEIJO SELITA COALHO KG;TRESMANN - VIX;SELITA;5.69;65.0;2.9952083333333333
904;LINGUICA SEARA CALABR GROSSA KG;TRESMANN - VIX;SEARA;35.481;63.2;13.414416666666666
904;LINGUICA SEARA CALABR GROSSA KG;TRESMANN - STT;SEARA;18.367;70.8;28.432125
904;LINGUICA SEARA CALABR GROSSA KG;TRESMANN - SMJ;SEARA;17.315;69.8;12.659500000000001
905;CARNE SUINA LOMBO SAUDALI TEMP KG;TRESMANN - STT;SAUDALI;19.972;289.2;4.132125
905;CARNE SUINA LOMBO SAUDALI TEMP KG;TRESMANN - VIX;SAUDALI;0.015;282.0;2.657875
905;CARNE SUINA LOMBO SAUDALI TEMP KG;TRESMANN - SMJ;SAUDALI;19.267;275.2;1.3667916666666666
908;FRANGO KIFRANGO IN NATURA CONG KG;TRESMANN - SMJ;PROTEINORTE ALIMENTOS;524.608;361.4;249.41258333333332
908;FRANGO KIFRANGO IN NATURA CONG KG;TRESMANN - STT;PROTEINORTE ALIMENTOS;457.598;361.4;375.925875
910;CARNE SUINA PERNIL SAUDALI TEMP S/OSSO KG;TRESMANN - STT;SAUDALI;23.973;247.4;3.1689583333333333
910;CARNE SUINA PERNIL SAUDALI TEMP S/OSSO KG;TRESMANN - VIX;SAUDALI;9.696;229.6;0.9319583333333333
910;CARNE SUINA PERNIL SAUDALI TEMP S/OSSO KG;TRESMANN - SMJ;SAUDALI;12.066;188.4;0.15441666666666667
917;COXA S/COXA FRG KIFRANGO CONG KG;TRESMANN - SMJ;PROTEINORTE ALIMENTOS;400.976;361.2;416.21120833333333
917;COXA S/COXA FRG KIFRANGO CONG KG;TRESMANN - STT;PROTEINORTE ALIMENTOS;275.754;358.2;469.77225
938;CARNE SUINA PALETA (S) KG;TRESMANN - STT;SUIMARTIN INDUSTRIA E COMERCIO;0.0;68.0;192.48670833333335
938;CARNE SUINA PALETA (S) KG;TRESMANN - SMJ;SUIMARTIN INDUSTRIA E COMERCIO;0.0;356.2;188.22241666666667
939;CARNE SUINA PERNIL C/TOUC (S) KG;TRESMANN - SMJ;SUIMARTIN INDUSTRIA E COMERCIO;0.0;118.8;147.70329166666667
939;CARNE SUINA PERNIL C/TOUC (S) KG;TRESMANN - STT;SUIMARTIN INDUSTRIA E COMERCIO;0.0;159.8;172.49025
940;LINGUICA COFRIL PERNIL APIMENTADA KG;TRESMANN - SMJ;COFRIL;9.481;177.4;2.830166666666667
940;LINGUICA COFRIL PERNIL APIMENTADA KG;TRESMANN - STT;COFRIL;16.792;176.2;5.515041666666667
948;CARNE SUINA SAUDALI FRALDINHA TEMP KG;TRESMANN - SMJ;SAUDALI;25.906;261.8;2.2302916666666666
948;CARNE SUINA SAUDALI FRALDINHA TEMP KG;TRESMANN - STT;SAUDALI;15.319;280.2;2.4559166666666665
958;QUEIJO SUNNY DAY MINAS PADRAO KG;TRESMANN - SMJ;LATICINIOS BIMBO LTDA;-3.784;50.4;0.5368333333333334
958;QUEIJO SUNNY DAY MINAS PADRAO KG;TRESMANN - STT;LATICINIOS BIMBO LTDA;-1.479;50.8;4.771958333333333
958;QUEIJO SUNNY DAY MINAS PADRAO KG;TRESMANN - VIX;LATICINIOS BIMBO LTDA;7.496;53.8;12.521291666666666
963;QUEIJO BIMBO CABACINHA 3X1KG;TRESMANN - SMJ;LATICINIOS BIMBO LTDA;0.0;63.4;0.1755
963;QUEIJO BIMBO CABACINHA 3X1KG;TRESMANN - VIX;LATICINIOS BIMBO LTDA;2.356;54.2;2.5126250000000003
963;QUEIJO BIMBO CABACINHA 3X1KG;TRESMANN - STT;LATICINIOS BIMBO LTDA;0.136;79.4;2.0440416666666668
989;REQUEIJAO SUNNY DAY KG;TRESMANN - STT;LATICINIOS BIMBO LTDA;21.3;75.0;0.996375
989;REQUEIJAO SUNNY DAY KG;TRESMANN - SMJ;LATICINIOS BIMBO LTDA;13.47;78.4;0.22416666666666665
1015;QUEIJO BIMBO RICOTA FRESCA KG;TRESMANN - STT;LATICINIOS BIMBO LTDA;20.332;50.2;3.29725
1015;QUEIJO BIMBO RICOTA FRESCA KG;TRESMANN - VIX;LATICINIOS BIMBO LTDA;3.208;52.0;3.33275
1015;QUEIJO BIMBO RICOTA FRESCA KG;TRESMANN - SMJ;LATICINIOS BIMBO LTDA;-0.081;45.8;0.520875
1029;QUEIJO SELITA LANCHE KG;TRESMANN - VIX;SELITA;6.289;122.25;3.8949583333333333
1029;QUEIJO SELITA LANCHE KG;TRESMANN - SMJ;SELITA;3.264;118.0;1.62275
1029;QUEIJO SELITA LANCHE KG;TRESMANN - STT;SELITA;8.999;118.2;4.728375
1031;QUEIJO VENEZA MUSSARELA PECA KG;TRESMANN - VIX;VENEZA;6.923;161.2;5.53075
1031;QUEIJO VENEZA MUSSARELA PECA KG;TRESMANN - STT;VENEZA;1.36;165.6;7.641333333333334
1031;QUEIJO VENEZA MUSSARELA PECA KG;TRESMANN - SMJ;VENEZA;6.039;165.2;3.3175416666666666
1051;CARNE BOV PAULISTINHA (D) KG;TRESMANN - STT;FORTE BOI;0.0;0.0;12.783333333333333
1051;CARNE BOV PAULISTINHA (D) KG;TRESMANN - SMJ;FORTE BOI;0.0;0.0;3.1951666666666663
1053;CARNE BOV CAPA DE FILE (T) KG;TRESMANN - STT;FORTE BOI;0.0;0.0;145.27708333333334
1053;CARNE BOV CAPA DE FILE (T) KG;TRESMANN - SMJ;FORTE BOI;0.0;56.0;12.981541666666667
1054;CARNE BOV MAMINHA DA ALCATRA (T) KG;TRESMANN - STT;FORTE BOI;0.0;0.0;33.67966666666666
1054;CARNE BOV MAMINHA DA ALCATRA (T) KG;TRESMANN - SMJ;FORTE BOI;0.0;55.0;7.992
1055;CARNE BOV CAPA DO CHA DENTRO (T) KG;TRESMANN - STT;FORTE BOI;0.0;0.0;5.921666666666667
1055;CARNE BOV CAPA DO CHA DENTRO (T) KG;TRESMANN - SMJ;FORTE BOI;0.0;0.0;6.5400833333333335
1067;QUEIJO BIMBO MUSSARELA (*) KG;TRESMANN - SMJ;LATICINIOS BIMBO LTDA;5.83;109.0;1.9845
1067;QUEIJO BIMBO MUSSARELA (*) KG;TRESMANN - STT;LATICINIOS BIMBO LTDA;9.056;111.4;12.553833333333333
1071;QUEIJO BOM DESTINO BUFALA BOLA CEREJA POTE 250GR;TRESMANN - VIX;LATICINIOS BOM DESTINO;18.0;48.2;20.5
1071;QUEIJO BOM DESTINO BUFALA BOLA CEREJA POTE 250GR;TRESMANN - STT;LATICINIOS BOM DESTINO;1.0;48.33;1.0833333333333333
1071;QUEIJO BOM DESTINO BUFALA BOLA CEREJA POTE 250GR;TRESMANN - SMJ;LATICINIOS BOM DESTINO;3.0;36.67;0.0
1093;QUEIJO PUREZA MUSSARELA (*) KG;TRESMANN - SMJ;WALDEMIRO BERGER DULEITE;0.0;148.6;1.1816666666666666
1095;CREME RICOTA BIMBO 24X200GR;TRESMANN - VIX;LATICINIOS BIMBO LTDA;48.0;114.8;51.83333333333333
1095;CREME RICOTA BIMBO 24X200GR;TRESMANN - SMJ;LATICINIOS BIMBO LTDA;6.0;91.2;12.166666666666668
1095;CREME RICOTA BIMBO 24X200GR;TRESMANN - STT;LATICINIOS BIMBO LTDA;0.0;99.8;31.166666666666668
1250;PAO FRANCES KG;TRESMANN - VIX;SEGREDOS DO TRIGO;979.509;59.8;421.5301666666667
1250;PAO FRANCES KG;TRESMANN - STT;SEGREDOS DO TRIGO;1110.164;60.2;530.3958333333334
1250;PAO FRANCES KG;TRESMANN - SMJ;SEGREDOS DO TRIGO;855.323;51.6;382.6259583333333
1251;PAO FRANCES INTEGRAL KG;TRESMANN - STT;SEGREDOS DO TRIGO;24.56;55.4;27.14975
1251;PAO FRANCES INTEGRAL KG;TRESMANN - VIX;SEGREDOS DO TRIGO;171.968;45.0;42.439166666666665
1251;PAO FRANCES INTEGRAL KG;TRESMANN - SMJ;SEGREDOS DO TRIGO;22.87;50.6;5.809291666666667
