CODIGO;NOME;LOJA;ESTOQUE ATUAL;VCTO_MEDIO;VENDA MEDIA
717;MEIA/CARCACA SUINA C/OSSO C/PELE - COMPOSTO (S) KG;TRESMANN - SMJ;100.41;11.8;0.0
721;GRANEL AMEIXA SECA S/CAROCO KG;TRESMANN - STT;2.32;77.4;7.295375
721;GRANEL AMEIXA SECA S/CAROCO KG;TRESMANN - VIX;3.728;542.8;4.910166666666667
721;GRANEL AMEIXA SECA S/CAROCO KG;TRESMANN - SMJ;9.372;187.2;4.335208333333333
850;CARNE SUINA COSTELA SAUDALI TEMP KG;TRESMANN - VIX;10.09;279.8;3.7921666666666667
850;CARNE SUINA COSTELA SAUDALI TEMP KG;TRESMANN - STT;1.052;290.0;7.707000000000001
850;CARNE SUINA COSTELA SAUDALI TEMP KG;TRESMANN - SMJ;17.564;307.6;1.6404999999999998
869;QUEIJO SELITA COALHO KG;TRESMANN - VIX;3.108;61.8;3.013375
904;LINGUICA SEARA CALABR GROSSA KG;TRESMANN - VIX;17.933;57.0;19.346958333333333
904;LINGUICA SEARA CALABR GROSSA KG;TRESMANN - STT;34.697;66.4;32.174125000000004
904;LINGUICA SEARA CALABR GROSSA KG;TRESMANN - SMJ;23.028;61.8;17.005333333333333
905;CARNE SUINA LOMBO SAUDALI TEMP KG;TRESMANN - STT;11.474;283.4;6.542791666666667
905;CARNE SUINA LOMBO SAUDALI TEMP KG;TRESMANN - VIX;1.561;282.0;3.1142083333333335
905;CARNE SUINA LOMBO SAUDALI TEMP KG;TRESMANN - SMJ;8.175;270.2;4.462541666666667
908;FRANGO KIFRANGO IN NATURA CONG KG;TRESMANN - SMJ;655.874;361.6;241.67604166666666
908;FRANGO KIFRANGO IN NATURA CONG KG;TRESMANN - STT;680.743;360.4;295.9477083333333
910;CARNE SUINA PERNIL SAUDALI TEMP S/OSSO KG;TRESMANN - STT;17.701;248.0;1.4214583333333335
910;CARNE SUINA PERNIL SAUDALI TEMP S/OSSO KG;TRESMANN - SMJ;12.066;188.4;0.15441666666666667
910;CARNE SUINA PERNIL SAUDALI TEMP S/OSSO KG;TRESMANN - VIX;9.696;229.6;1.0367916666666666
917;COXA S/COXA FRG KIFRANGO CONG KG;TRESMANN - SMJ;426.345;360.6;267.88841666666667
917;COXA S/COXA FRG KIFRANGO CONG KG;TRESMANN - STT;398.178;359.4;302.2105
938;CARNE SUINA PALETA (S) KG;TRESMANN - SMJ;0.0;356.2;188.7615416666667
938;CARNE SUINA PALETA (S) KG;TRESMANN - STT;0.0;68.0;218.08633333333336
939;CARNE SUINA PERNIL C/TOUC (S) KG;TRESMANN - SMJ;0.0;118.8;199.005
939;CARNE SUINA PERNIL C/TOUC (S) KG;TRESMANN - STT;0.0;159.8;208.82258333333334
940;LINGUICA COFRIL PERNIL APIMENTADA KG;TRESMANN - SMJ;-1.883;178.4;1.8405
940;LINGUICA COFRIL PERNIL APIMENTADA KG;TRESMANN - STT;12.576;177.0;6.246541666666667
948;CARNE SUINA SAUDALI FRALDINHA TEMP KG;TRESMANN - SMJ;39.246;261.8;6.323291666666666
948;CARNE SUINA SAUDALI FRALDINHA TEMP KG;TRESMANN - STT;15.319;280.2;4.31075
958;QUEIJO SUNNY DAY MINAS PADRAO KG;TRESMANN - VIX;5.968;56.2;13.950708333333333
958;QUEIJO SUNNY DAY MINAS PADRAO KG;TRESMANN - STT;-0.103;52.0;6.360958333333333
958;QUEIJO SUNNY DAY MINAS PADRAO KG;TRESMANN - SMJ;-0.362;50.4;1.6344166666666666
963;QUEIJO BIMBO CABACINHA 3X1KG;TRESMANN - STT;-0.188;76.2;1.2272916666666667
963;QUEIJO BIMBO CABACINHA 3X1KG;TRESMANN - SMJ;0.0;63.4;0.4409166666666667
963;QUEIJO BIMBO CABACINHA 3X1KG;TRESMANN - VIX;2.194;72.0;3.2579583333333337
989;REQUEIJAO SUNNY DAY KG;TRESMANN - SMJ;13.47;78.4;0.48141666666666666
989;REQUEIJAO SUNNY DAY KG;TRESMANN - STT;10.5;75.0;1.56425
1015;QUEIJO BIMBO RICOTA FRESCA KG;TRESMANN - VIX;0.194;54.4;3.3637916666666667
1015;QUEIJO BIMBO RICOTA FRESCA KG;TRESMANN - SMJ;1.649;45.8;1.0504583333333333
1015;QUEIJO BIMBO RICOTA FRESCA KG;TRESMANN - STT;20.28;48.6;1.9087916666666667
1029;QUEIJO SELITA LANCHE KG;TRESMANN - STT;2.531;121.6;4.450375
1029;QUEIJO SELITA LANCHE KG;TRESMANN - SMJ;2.15;115.0;1.7625000000000002
1029;QUEIJO SELITA LANCHE KG;TRESMANN - VIX;-1.088;65.0;0.09116666666666667
1031;QUEIJO VENEZA MUSSARELA PECA KG;TRESMANN - SMJ;10.251;165.2;4.138125
1031;QUEIJO VENEZA MUSSARELA PECA KG;TRESMANN - VIX;9.345;168.6;4.7204999999999995
1031;QUEIJO VENEZA MUSSARELA PECA KG;TRESMANN - STT;7.56;168.4;6.803916666666667
1051;CARNE BOV PAULISTINHA (D) KG;TRESMANN - SMJ;0.0;0.0;1.9216666666666666
1051;CARNE BOV PAULISTINHA (D) KG;TRESMANN - STT;0.0;0.0;17.76083333333333
1052;NFE - CARNE BOV FRALDINHA (T) KG;TRESMANN - STT;0.0;100.25;0.0
