70569;36
79680;12
72801;12
62076;100
62077;100
11496;48
11505;12
11506;24
11507;48
11508;36
13188;45
13193;20
10070;12
70086;15
68170;15
68169;30
67874;65
10597;60
10608;90
10667;60
85103;12
38190;12
81470;48
14041;12
80544;16
80545;224
10784;18
10318;104
10320;72
10323;56
10325;8
76243;330
81409;96
10055;12
38319;108
75900;24
71923;54
81349;150
80237;90
10060;144
52708;30
69521;6
49123;15
10062;6
38114;18
72979;24
72380;72
83072;24
14193;12
31774;48
25142;24
25144;12
14643;25
20663;100
14701;48
14696;100
31686;18
29923;6
21010;24
27827;20
35986;3
14293;20
14211;6
79409;12
79554;12
51880;36
24822;270
19467;150
70682;60
55720;15
83705;45
20548;50
72414;120
14413;24
82637;176
82636;80
83548;80
82638;128
82640;136
82639;208
83154;72
79948;12
79950;36
84811;12
79949;30
71288;15
79947;30
40120;15
56024;18
83655;17
83394;3
81697;17
83396;9
83395;9
83654;9
83959;9
84439;17
70839;36
20479;30
68484;80
53479;60
77614;20
19470;20
82673;81
82451;36
83203;99
82453;117
82671;90
82454;126
82670;72
82452;90
82669;162
50253;50
10093;9
83066;6
83068;3
27469;3
83069;6
83111;6
10150;6
25384;3
60221;6
70159;6
49852;6
24865;6
79759;2
61761;3
80852;3
34525;16
15560;40
73154;12
73153;12
69265;72
79253;30
67742;20
15902;40
27279;30
15907;60
27280;30
12398;48
14731;24
80615;6
14712;18
53794;12
55513;12
66038;24
68376;12
73595;12
43963;24
62531;24
71446;60
46989;24
33180;24
44098;30
74230;24
73169;30
15083;12
67840;30
17910;12
44641;60
47226;30
62255;6
18157;24
21643;48
18432;10
68813;20
55112;15
57568;3
56483;6
68452;72
48805;12
63846;18
17400;24
25264;12
25265;12
85855;204
17189;24
85856;6
71896;6
71298;36
73596;18
11014;12
24645;24
11042;13
24772;36
74680;42
71299;12
71300;24
36782;8
73739;6
79492;6
70985;12
77537;12
32632;12
50067;12
29463;12
60965;6
59348;12
68071;6
65660;12
79752;6
51328;12
72369;12
79278;12
56614;12
56867;12
56611;12
22344;12
15297;6
22916;3
15372;36
15367;36
61502;12
68292;144
57683;12
78732;12
38007;42
69591;48
73558;24
73426;12
70820;12
